12;102;26;102;21;12;73
15;66;47;86;29;85;83
97;12;86;57;93;64;41
25;57;58;85;47;70;72
45;34;56;39;62;19;55
36;94;45;85;94;89;88
23;93;34;90;88;28;21
11;87;61;32;20;99;27
91;52;70;94;97;25;11
28;91;10;56;87;92;83
29;89;24;71;57;74;55
42;65;11;92;33;49;38
43;45;58;84;53;52;31
65;82;13;18;28;18;50
88;31;37;42;19;62;77
76;48;94;32;94;19;45
80;10;31;71;98;42;15
93;66;61;57;54;99;73
90;27;45;43;66;30;29
49;33;11;94;93;10;70
50;57;56;40;94;75;29
82;80;93;86;39;42;57
72;64;75;27;34;14;75
41;23;64;46;63;22;73
45;76;45;45;21;62;27
27;100;30;39;49;28;97
18;94;80;95;42;51;74
63;13;41;39;12;10;74
30;86;21;71;53;63;16
46;10;51;84;84;66;30
77;48;65;94;26;74;27
66;47;77;32;92;18;55
86;46;71;73;31;70;43
40;50;55;28;60;56;56
14;41;81;19;22;59;15
32;78;23;23;11;39;35
46;54;48;64;38;94;48
94;15;79;17;90;66;70
55;46;63;90;27;84;96
97;80;36;55;32;59;47
79;70;18;88;21;19;92
34;24;70;86;48;83;87
86;52;41;78;75;44;39
23;51;96;75;78;82;36
15;46;49;26;15;45;13
47;73;73;60;95;23;31
85;73;17;77;28;15;89
37;95;74;95;52;75;35
88;57;31;19;63;54;13
10;63;41;71;100;45;25
38;50;50;75;16;93;20
81;70;60;21;32;59;61
13;74;63;65;63;45;56
16;69;56;50;27;100;92
44;98;85;23;44;30;48
13;64;31;88;80;38;30
10;91;43;94;97;57;25
73;26;84;84;75;57;37
59;29;89;70;88;97;50
42;91;45;78;20;90;64
23;99;45;33;71;76;41
23;92;82;92;25;90;22
85;25;98;52;93;29;45
65;79;83;26;22;73;34
64;53;25;79;30;19;48
50;64;73;86;97;70;17
98;30;37;39;95;75;40
26;37;89;51;28;93;88
77;59;100;34;93;50;91
41;30;57;51;72;79;43
33;25;42;59;62;27;61
19;14;28;30;89;70;21
56;31;47;83;79;21;88
81;13;95;43;80;56;82
25;91;19;12;89;86;18
14;26;38;70;28;32;10
69;29;78;79;31;92;62
15;73;75;56;65;80;78
29;31;54;87;86;89;32
56;27;15;72;49;71;66
11;82;20;56;70;78;40
25;92;43;24;27;94;14
81;83;15;43;11;60;71
87;56;22;88;62;74;72
24;90;29;60;32;29;76
22;55;86;15;76;71;49
81;49;25;74;82;91;13
47;84;74;95;89;88;76
23;81;49;40;90;89;43
43;100;83;20;76;11;84
91;32;49;69;35;15;57
56;25;97;31;12;24;81
35;10;99;96;36;57;91
43;80;83;46;60;66;100
33;97;41;54;65;69;20
92;28;35;22;18;27;49
23;73;29;15;42;87;72
23;58;58;67;76;81;80
60;55;68;87;62;41;68
94;76;91;90;91;81;62
98;11;13;45;18;50;87
85;37;13;80;64;74;50
70;93;23;32;97;80;33
99;10;48;13;47;17;57
60;46;26;42;54;66;52
45;99;11;46;25;82;14
80;60;62;86;84;13;70
10;26;45;76;22;10;61
53;27;30;47;31;24;24
89;58;21;15;11;31;14
26;92;51;50;86;68;60
26;75;53;36;68;27;39
66;49;100;78;39;86;96
64;97;44;74;48;84;67
53;44;69;17;51;20;78
65;12;52;19;76;87;29
49;11;90;31;50;74;40
200;114;200;40;184;40;62
95;66;30;24;18;84;71
68;28;85;55;22;65;21
37;52;62;64;98;64;100
19;72;28;81;65;81;99
71;87;40;22;25;67;93
20;36;72;34;36;68;81
95;91;75;65;30;11;96
46;56;35;99;97;90;26
26;56;23;61;57;40;42
87;62;98;96;98;53;51
24;22;25;21;21;62;31
21;42;91;86;24;39;97
60;62;71;18;24;62;92
54;40;53;26;48;32;20
83;29;100;57;55;53;11
64;79;43;78;12;79;98
78;15;75;44;26;59;11
60;84;55;45;46;14;20
82;99;62;17;22;10;12
14;55;75;90;76;99;89
23;24;26;60;11;57;86
47;34;11;88;76;88;80
100;63;59;55;93;18;26
67;59;67;10;53;47;13
91;49;81;61;50;30;71
95;43;45;24;64;48;58
55;85;76;60;45;58;61
56;55;52;27;63;19;91
91;93;58;92;31;45;97
26;15;96;21;75;90;37
42;71;59;35;25;33;100
83;16;25;83;57;48;33
68;95;70;86;63;22;71
17;10;60;26;99;95;78
71;57;53;61;82;62;44
51;91;87;47;26;87;42
78;12;38;82;13;28;32
79;45;30;47;50;64;51
14;76;32;75;78;22;37
76;28;58;91;40;56;45
98;97;75;89;49;51;100
43;98;70;12;75;75;78
13;20;91;71;25;56;23
48;36;64;37;88;58;50
69;44;25;87;64;37;49
82;36;38;80;58;86;34
96;92;92;23;73;81;89
48;20;89;31;70;45;14
34;52;61;32;54;13;88
33;64;14;89;18;11;27
34;91;27;69;99;22;48
13;30;50;74;14;82;23
12;48;17;45;18;69;59
29;41;23;95;34;31;34
17;42;44;17;74;18;49
73;87;88;67;68;57;22
53;10;18;24;67;11;28
98;24;100;71;17;96;36
84;22;93;73;26;60;67
99;19;11;26;95;18;42
90;72;13;13;81;81;22
74;50;100;14;99;41;90
81;34;65;90;61;97;18
89;93;14;95;42;60;93
48;42;47;71;21;23;73
14;15;53;51;27;20;94
96;58;26;74;13;18;61
90;71;69;80;41;56;20
23;25;30;99;22;90;27
73;48;97;82;76;34;67
41;57;72;57;31;87;31
85;99;84;31;41;29;40
51;14;94;58;42;32;38
93;89;20;38;70;23;69
90;33;70;63;21;25;74
67;64;23;10;80;61;16
